policy_name,region1_masks,region2_masks,aged_ratio_1,aged_ratio_2
Fair_0.25_0.38,176000,24000,0.5,0.5
Fair_0.25_0.4,180000,20000,0.5,0.5
Fair_0.25_0.43,186000,14000,0.5,0.5
Fair_0.25_0.45,190000,10000,0.5,0.5
Fair_0.25_0.48,196000,4000,0.5,0.5
Fair_0.25_0.5,200000,0,0.5,0.5
Fair_0.3_0.02,124800,115200,0.5,0.5
Fair_0.3_0.05,132000,108000,0.5,0.5
Fair_0.3_0.08,139200,100800,0.5,0.5
Fair_0.3_0.1,144000,96000,0.5,0.5
Fair_0.3_0.12,148800,91200,0.5,0.5
Fair_0.3_0.15,156000,84000,0.5,0.5
Fair_0.3_0.18,163200,76800,0.5,0.5
Fair_0.3_0.2,168000,72000,0.5,0.5
Fair_0.3_0.22,172799,67200,0.5,0.5
Fair_0.3_0.25,180000,60000,0.5,0.5
Fair_0.3_0.28,187200,52800,0.5,0.5
Fair_0.3_0.3,192000,48000,0.5,0.5
Fair_0.3_0.32,196800,43200,0.5,0.5
Fair_0.3_0.35,204000,36000,0.5,0.5
Fair_0.3_0.38,211200,28800,0.5,0.5
Fair_0.3_0.4,216000,24000,0.5,0.5
Fair_0.3_0.43,223200,16800,0.5,0.5
Fair_0.3_0.45,228000,12000,0.5,0.5
Fair_0.3_0.48,235200,4800,0.5,0.5
Fair_0.3_0.5,240000,0,0.5,0.5
Fair_0.35_0.02,145600,134400,0.5,0.5
Fair_0.35_0.05,154000,126000,0.5,0.5
Fair_0.35_0.08,162400,117600,0.5,0.5
Fair_0.35_0.1,168000,112000,0.5,0.5
Fair_0.35_0.12,173600,106400,0.5,0.5
Fair_0.35_0.15,182000,98000,0.5,0.5
Fair_0.35_0.18,190400,89600,0.5,0.5
Fair_0.35_0.2,196000,84000,0.5,0.5
Fair_0.35_0.22,201599,78400,0.5,0.5
Fair_0.35_0.25,210000,70000,0.5,0.5
Fair_0.35_0.28,218400,61600,0.5,0.5
Fair_0.35_0.3,224000,56000,0.5,0.5
Fair_0.35_0.32,229600,50400,0.5,0.5
Fair_0.35_0.35,238000,42000,0.5,0.5
Fair_0.35_0.38,246400,33600,0.5,0.5
Fair_0.35_0.4,252000,28000,0.5,0.5
Fair_0.35_0.43,260400,19600,0.5,0.5
Fair_0.35_0.45,266000,14000,0.5,0.5
Fair_0.35_0.48,274400,5600,0.5,0.5
Fair_0.35_0.5,280000,0,0.5,0.5
Fair_0.4_0.02,166400,153600,0.5,0.5
Fair_0.4_0.05,176000,144000,0.5,0.5
Fair_0.4_0.08,185600,134400,0.5,0.5
Fair_0.4_0.1,192000,128000,0.5,0.5
Fair_0.4_0.12,198400,121600,0.5,0.5
Fair_0.4_0.15,208000,112000,0.5,0.5
Fair_0.4_0.18,217600,102400,0.5,0.5
Fair_0.4_0.2,224000,96000,0.5,0.5
Fair_0.4_0.22,230400,89600,0.5,0.5
Fair_0.4_0.25,240000,80000,0.5,0.5
Fair_0.4_0.28,249600,70400,0.5,0.5
Fair_0.4_0.3,256000,64000,0.5,0.5
Fair_0.4_0.32,262400,57600,0.5,0.5
Fair_0.4_0.35,272000,48000,0.5,0.5
Fair_0.4_0.38,281600,38400,0.5,0.5
Fair_0.4_0.4,288000,32000,0.5,0.5
Fair_0.4_0.43,297599,22399,0.5,0.5
Fair_0.4_0.45,304000,16000,0.5,0.5
Fair_0.4_0.48,313600,6400,0.5,0.5
Fair_0.4_0.5,320000,0,0.5,0.5
Fair_0.45_0.02,187200,172800,0.5,0.5
Fair_0.45_0.05,198000,162000,0.5,0.5
Fair_0.45_0.08,208800,151200,0.5,0.5
Fair_0.45_0.1,216000,144000,0.5,0.5
Fair_0.45_0.12,223200,136800,0.5,0.5
Fair_0.45_0.15,234000,126000,0.5,0.5
Fair_0.45_0.18,244800,115200,0.5,0.5
Fair_0.45_0.2,252000,108000,0.5,0.5
Fair_0.45_0.22,259200,100800,0.5,0.5
Fair_0.45_0.25,270000,90000,0.5,0.5
Fair_0.45_0.28,280800,79200,0.5,0.5
Fair_0.45_0.3,288000,72000,0.5,0.5
Fair_0.45_0.32,295200,64800,0.5,0.5
Fair_0.45_0.35,306000,54000,0.5,0.5
Fair_0.45_0.38,316800,43200,0.5,0.5
Fair_0.45_0.4,324000,36000,0.5,0.5
Fair_0.45_0.43,334800,25200,0.5,0.5
Fair_0.45_0.45,342000,18000,0.5,0.5
Fair_0.45_0.48,352800,7200,0.5,0.5
Fair_0.45_0.5,360000,0,0.5,0.5
Fair_0.5_0.02,208000,192000,0.5,0.5
Fair_0.5_0.05,220000,180000,0.5,0.5
Fair_0.5_0.08,232000,168000,0.5,0.5
Fair_0.5_0.1,240000,160000,0.5,0.5
Fair_0.5_0.12,248000,152000,0.5,0.5
Fair_0.5_0.15,260000,140000,0.5,0.5
Fair_0.5_0.18,272000,128000,0.5,0.5
Fair_0.5_0.2,280000,120000,0.5,0.5
Fair_0.5_0.22,288000,112000,0.5,0.5
Fair_0.5_0.25,300000,100000,0.5,0.5
Fair_0.5_0.28,312000,88000,0.5,0.5
Fair_0.5_0.3,320000,80000,0.5,0.5
Fair_0.5_0.32,328000,72000,0.5,0.5
Fair_0.5_0.35,340000,60000,0.5,0.5
Fair_0.5_0.38,352000,48000,0.5,0.5
Fair_0.5_0.4,360000,40000,0.5,0.5
Fair_0.5_0.43,372000,28000,0.5,0.5
Fair_0.5_0.45,380000,20000,0.5,0.5
Fair_0.5_0.48,392000,8000,0.5,0.5
Fair_0.5_0.5,400000,0,0.5,0.5
Proportion_0.0,0,0,0.5,0.5
Proportion_0.05,20000,20000,0.5,0.5
Proportion_0.1,40000,40000,0.5,0.5
Proportion_0.15,60000,60000,0.5,0.5
Proportion_0.2,80000,80000,0.5,0.5
Proportion_0.25,100000,100000,0.5,0.5
Proportion_0.3,120000,120000,0.5,0.5
Proportion_0.35,140000,140000,0.5,0.5
Proportion_0.4,160000,160000,0.5,0.5
Proportion_0.45,180000,180000,0.5,0.5
Proportion_0.5,200000,200000,0.5,0.5
Utility_0.0,0,0,0.5,0.5
Utility_0.05,40000,0,0.5,0.5
Utility_0.1,80000,0,0.5,0.5
Utility_0.15,120000,0,0.5,0.5
Utility_0.2,160000,0,0.5,0.5
Utility_0.25,200000,0,0.5,0.5
Utility_0.3,240000,0,0.5,0.5
Utility_0.35,280000,0,0.5,0.5
Utility_0.4,320000,0,0.5,0.5
Utility_0.45,360000,0,0.5,0.5
Utility_0.5,400000,0,0.5,0.5
