Region1,Region2,Region1_NonAged,Region2_NonAged,Region1_Aged,Region2_Aged,Total_Mortality,R1_Aged_MaskRate,R1_NonAged_MaskRate,R2_Aged_MaskRate,R2_NonAged_MaskRate,policy,supply_rate,epsilon,aged_priority_ratio
0.110925,0.117083,0.038427,0.039386,0.183422,0.194781,0.114004,0.140000,0.000000,0.060000,0.000000,Fair,0.05,0.2,1.0
0.110632,0.117407,0.038381,0.039435,0.182884,0.195380,0.114020,0.144000,0.000000,0.056000,0.000000,Fair,0.05,0.22,1.0
0.110196,0.117896,0.038311,0.039509,0.182082,0.196283,0.114046,0.150000,0.000000,0.050000,0.000000,Fair,0.05,0.25,1.0
0.109763,0.118388,0.038242,0.039583,0.181285,0.197193,0.114076,0.156000,0.000000,0.044000,0.000000,Fair,0.05,0.28,1.0
0.109477,0.118718,0.038196,0.039633,0.180757,0.197803,0.114097,0.160000,0.000000,0.040000,0.000000,Fair,0.05,0.3,1.0
0.109191,0.119050,0.038150,0.039683,0.180233,0.198417,0.114121,0.164000,0.000000,0.036000,0.000000,Fair,0.05,0.32,1.0
0.108766,0.119550,0.038081,0.039758,0.179450,0.199343,0.114158,0.170000,0.000000,0.030000,0.000000,Fair,0.05,0.35,1.0
0.108343,0.120055,0.038013,0.039833,0.178674,0.200276,0.114199,0.176000,0.000000,0.024000,0.000000,Fair,0.05,0.38,1.0
0.108063,0.120393,0.037968,0.039884,0.178159,0.200902,0.114228,0.180000,0.000000,0.020000,0.000000,Fair,0.05,0.4,1.0
0.107646,0.120903,0.037900,0.039960,0.177392,0.201846,0.114274,0.186000,0.000000,0.014000,0.000000,Fair,0.05,0.43,1.0
0.107370,0.121245,0.037855,0.040010,0.176885,0.202480,0.114307,0.190000,0.000000,0.010000,0.000000,Fair,0.05,0.45,1.0
0.106957,0.121761,0.037787,0.040087,0.176127,0.203436,0.114359,0.196000,0.000000,0.004000,0.000000,Fair,0.05,0.48,1.0
0.106684,0.122107,0.037743,0.040138,0.175626,0.204077,0.114396,0.200000,0.000000,0.000000,0.000000,Fair,0.05,0.5,1.0
0.106142,0.107232,0.037654,0.037832,0.174631,0.176632,0.106687,0.208000,0.000000,0.192000,0.000000,Fair,0.1,0.02,1.0
0.105339,0.108063,0.037521,0.037968,0.173156,0.178159,0.106701,0.220000,0.000000,0.180000,0.000000,Fair,0.1,0.05,1.0
0.104547,0.108907,0.037390,0.038104,0.171704,0.179710,0.106727,0.232000,0.000000,0.168000,0.000000,Fair,0.1,0.08,1.0
0.104026,0.109477,0.037303,0.038196,0.170748,0.180757,0.106751,0.240000,0.000000,0.160000,0.000000,Fair,0.1,0.1,1.0
0.103510,0.110052,0.037216,0.038288,0.169803,0.181816,0.106781,0.247995,0.000000,0.151995,0.000000,Fair,0.1,0.12,1.0
0.102744,0.110925,0.037087,0.038427,0.168401,0.183422,0.106835,0.260000,0.000000,0.140000,0.000000,Fair,0.1,0.15,1.0
0.101990,0.111811,0.036960,0.038568,0.167021,0.185054,0.106901,0.272000,0.000000,0.128000,0.000000,Fair,0.1,0.18,1.0
0.101494,0.112409,0.036875,0.038662,0.166112,0.186156,0.106951,0.280000,0.000000,0.120000,0.000000,Fair,0.1,0.2,1.0
0.101002,0.113013,0.036792,0.038757,0.165213,0.187269,0.107007,0.288000,0.000000,0.112000,0.000000,Fair,0.1,0.22,1.0
0.100274,0.113929,0.036667,0.038900,0.163881,0.188959,0.107102,0.300000,0.000000,0.100000,0.000000,Fair,0.1,0.25,1.0
0.099556,0.114860,0.036543,0.039044,0.162569,0.190675,0.107208,0.312000,0.000000,0.088000,0.000000,Fair,0.1,0.28,1.0
0.099083,0.115487,0.036461,0.039141,0.161705,0.191834,0.107285,0.320000,0.000000,0.080000,0.000000,Fair,0.1,0.3,1.0
0.098615,0.116121,0.036380,0.039239,0.160850,0.193004,0.107368,0.328000,0.000000,0.072000,0.000000,Fair,0.1,0.32,1.0
0.097921,0.117083,0.036259,0.039386,0.159583,0.194781,0.107502,0.340000,0.000000,0.060000,0.000000,Fair,0.1,0.35,1.0
0.097237,0.118060,0.036139,0.039534,0.158336,0.196585,0.107648,0.352000,0.000000,0.048000,0.000000,Fair,0.1,0.38,1.0
0.096787,0.118718,0.036059,0.039633,0.157515,0.197803,0.107753,0.360000,0.000000,0.040000,0.000000,Fair,0.1,0.4,1.0
0.096120,0.119718,0.035941,0.039783,0.156298,0.199653,0.107919,0.372000,0.000000,0.028000,0.000000,Fair,0.1,0.43,1.0
0.095680,0.120393,0.035863,0.039884,0.155497,0.200902,0.108036,0.380000,0.000000,0.020000,0.000000,Fair,0.1,0.45,1.0
0.095029,0.121417,0.035747,0.040036,0.154311,0.202797,0.108223,0.392000,0.000000,0.008000,0.000000,Fair,0.1,0.48,1.0
0.094600,0.122107,0.035670,0.040138,0.153529,0.204077,0.108354,0.400000,0.000000,0.000000,0.000000,Fair,0.1,0.5,1.0
0.099556,0.101002,0.036543,0.036792,0.162569,0.165213,0.100279,0.312000,0.000000,0.288000,0.000000,Fair,0.15,0.02,1.0
0.098498,0.102115,0.036359,0.036981,0.160638,0.167249,0.100307,0.330000,0.000000,0.270000,0.000000,Fair,0.15,0.05,1.0
0.097464,0.103253,0.036179,0.037173,0.158750,0.169333,0.100359,0.348000,0.000000,0.252000,0.000000,Fair,0.15,0.08,1.0
0.096787,0.104026,0.036059,0.037303,0.157515,0.170748,0.100406,0.360000,0.000000,0.240000,0.000000,Fair,0.15,0.1,1.0
0.096120,0.104810,0.035941,0.037433,0.156298,0.172186,0.100465,0.372000,0.000000,0.228000,0.000000,Fair,0.15,0.12,1.0
0.095137,0.106007,0.035766,0.037631,0.154507,0.174383,0.100572,0.390000,0.000000,0.210000,0.000000,Fair,0.15,0.15,1.0
0.094175,0.107232,0.035594,0.037832,0.152756,0.176632,0.100703,0.408000,0.000000,0.192000,0.000000,Fair,0.15,0.18,1.0
0.093545,0.108063,0.035480,0.037968,0.151610,0.178159,0.100804,0.420000,0.000000,0.180000,0.000000,Fair,0.15,0.2,1.0
0.092925,0.108907,0.035368,0.038104,0.150482,0.179710,0.100916,0.431995,0.000000,0.168000,0.000000,Fair,0.15,0.22,1.0
0.092010,0.110196,0.035201,0.038311,0.148820,0.182082,0.101103,0.450000,0.000000,0.150000,0.000000,Fair,0.15,0.25,1.0
0.091115,0.111514,0.035036,0.038521,0.147194,0.184507,0.101315,0.468000,0.000000,0.132000,0.000000,Fair,0.15,0.28,1.0
0.090529,0.112409,0.034928,0.038662,0.146131,0.186156,0.101469,0.480000,0.000000,0.120000,0.000000,Fair,0.15,0.3,1.0
0.089952,0.113317,0.034821,0.038804,0.145083,0.187829,0.101634,0.492000,0.000000,0.108000,0.000000,Fair,0.15,0.32,1.0
0.089100,0.114704,0.034662,0.039020,0.143539,0.190387,0.101902,0.510000,0.000000,0.090000,0.000000,Fair,0.15,0.35,1.0
0.088267,0.116121,0.034505,0.039239,0.142029,0.193004,0.102194,0.528000,0.000000,0.072000,0.000000,Fair,0.15,0.38,1.0
0.087721,0.117083,0.034402,0.039386,0.141041,0.194781,0.102402,0.540000,0.000000,0.060000,0.000000,Fair,0.15,0.4,1.0
0.086917,0.118553,0.034249,0.039608,0.139585,0.197498,0.102735,0.558000,0.000000,0.042000,0.000000,Fair,0.15,0.43,1.0
0.086390,0.119550,0.034148,0.039758,0.138632,0.199343,0.102970,0.570000,0.000000,0.030000,0.000000,Fair,0.15,0.45,1.0
0.085614,0.121074,0.033999,0.039985,0.137228,0.202162,0.103344,0.588000,0.000000,0.012000,0.000000,Fair,0.15,0.48,1.0
0.085105,0.122107,0.033901,0.040138,0.136309,0.204077,0.103606,0.600000,0.000000,0.000000,0.000000,Fair,0.15,0.5,1.0
0.093754,0.095462,0.035518,0.035824,0.151990,0.155100,0.094608,0.416000,0.000000,0.384000,0.000000,Fair,0.2,0.02,1.0
0.092516,0.096787,0.035293,0.036059,0.149738,0.157515,0.094651,0.440000,0.000000,0.360000,0.000000,Fair,0.2,0.05,1.0
0.091313,0.098151,0.035072,0.036299,0.147553,0.160003,0.094732,0.464000,0.000000,0.336000,0.000000,Fair,0.2,0.08,1.0
0.090529,0.099083,0.034928,0.036461,0.146131,0.161705,0.094806,0.480000,0.000000,0.320000,0.000000,Fair,0.2,0.1,1.0
0.089761,0.100033,0.034785,0.036625,0.144737,0.163441,0.094897,0.496000,0.000000,0.304000,0.000000,Fair,0.2,0.12,1.0
0.088635,0.101494,0.034574,0.036875,0.142696,0.166112,0.095065,0.520000,0.000000,0.280000,0.000000,Fair,0.2,0.15,1.0
0.087541,0.102998,0.034368,0.037130,0.140715,0.168866,0.095270,0.544000,0.000000,0.256000,0.000000,Fair,0.2,0.18,1.0
0.086829,0.104026,0.034232,0.037303,0.139425,0.170748,0.095427,0.560000,0.000000,0.240000,0.000000,Fair,0.2,0.2,1.0
0.086129,0.105073,0.034098,0.037477,0.138161,0.172670,0.095601,0.576000,0.000000,0.224000,0.000000,Fair,0.2,0.22,1.0
0.085105,0.106684,0.033901,0.037743,0.136309,0.175626,0.095895,0.600000,0.000000,0.200000,0.000000,Fair,0.2,0.25,1.0
0.084108,0.108343,0.033707,0.038013,0.134510,0.178674,0.096226,0.624000,0.000000,0.176000,0.000000,Fair,0.2,0.28,1.0
0.083459,0.109477,0.033580,0.038196,0.133338,0.180757,0.096468,0.640000,0.000000,0.160000,0.000000,Fair,0.2,0.3,1.0
0.082822,0.110632,0.033455,0.038381,0.132189,0.182884,0.096727,0.656000,0.000000,0.144000,0.000000,Fair,0.2,0.32,1.0
0.081887,0.112409,0.033270,0.038662,0.130505,0.186156,0.097148,0.680000,0.000000,0.120000,0.000000,Fair,0.2,0.35,1.0
0.080978,0.114238,0.033088,0.038948,0.128868,0.189528,0.097608,0.704000,0.000000,0.096000,0.000000,Fair,0.2,0.38,1.0
0.080385,0.115487,0.032969,0.039141,0.127801,0.191834,0.097936,0.720000,0.000000,0.080000,0.000000,Fair,0.2,0.4,1.0
0.079516,0.117407,0.032794,0.039435,0.126238,0.195380,0.098462,0.744000,0.000000,0.056000,0.000000,Fair,0.2,0.43,1.0
0.078949,0.118718,0.032678,0.039633,0.125220,0.197803,0.098834,0.760000,0.000000,0.040000,0.000000,Fair,0.2,0.45,1.0
0.078118,0.120732,0.032509,0.039934,0.123727,0.201530,0.099425,0.784000,0.000000,0.016000,0.000000,Fair,0.2,0.48,1.0
0.077576,0.122107,0.032397,0.040138,0.122755,0.204077,0.099842,0.800000,0.000000,0.000000,0.000000,Fair,0.2,0.5,1.0
0.088635,0.090529,0.034574,0.034928,0.142696,0.146131,0.089582,0.520000,0.000000,0.480000,0.000000,Fair,0.25,0.02,1.0
0.087272,0.092010,0.034316,0.035201,0.140228,0.148820,0.089641,0.550000,0.000000,0.450000,0.000000,Fair,0.25,0.05,1.0
0.085957,0.093545,0.034065,0.035480,0.137848,0.151610,0.089751,0.580000,0.000000,0.420000,0.000000,Fair,0.25,0.08,1.0
0.085105,0.094600,0.033901,0.035670,0.136309,0.153529,0.089852,0.600000,0.000000,0.400000,0.000000,Fair,0.25,0.1,1.0
0.084272,0.095680,0.033739,0.035863,0.134806,0.155497,0.089976,0.620000,0.000000,0.380000,0.000000,Fair,0.25,0.12,1.0
0.083059,0.097351,0.033501,0.036159,0.132617,0.158543,0.090205,0.650000,0.000000,0.350000,0.000000,Fair,0.25,0.15,1.0
0.081887,0.099083,0.033270,0.036461,0.130505,0.161705,0.090485,0.680000,0.000000,0.320000,0.000000,Fair,0.25,0.18,1.0
0.081128,0.100274,0.033118,0.036667,0.129137,0.163881,0.090701,0.700000,0.000000,0.300000,0.000000,Fair,0.25,0.2,1.0
0.080385,0.101494,0.032969,0.036875,0.127801,0.166112,0.090940,0.720000,0.000000,0.280000,0.000000,Fair,0.25,0.22,1.0
0.079302,0.103381,0.032750,0.037195,0.125854,0.169567,0.091342,0.750000,0.000000,0.250000,0.000000,Fair,0.25,0.25,1.0
0.078255,0.105339,0.032537,0.037521,0.123973,0.173156,0.091797,0.780000,0.000000,0.220000,0.000000,Fair,0.25,0.28,1.0
0.077576,0.106684,0.032397,0.037743,0.122755,0.175626,0.092130,0.800000,0.000000,0.200000,0.000000,Fair,0.25,0.3,1.0
0.076911,0.108063,0.032260,0.037968,0.121563,0.178159,0.092487,0.820000,0.000000,0.180000,0.000000,Fair,0.25,0.32,1.0
0.075942,0.110196,0.032058,0.038311,0.119826,0.182082,0.093069,0.850000,0.000000,0.150000,0.000000,Fair,0.25,0.35,1.0
0.075003,0.112409,0.031861,0.038662,0.118145,0.186156,0.093706,0.880000,0.000000,0.120000,0.000000,Fair,0.25,0.38,1.0
0.074394,0.113929,0.031732,0.038900,0.117056,0.188959,0.094162,0.900000,0.000000,0.100000,0.000000,Fair,0.25,0.4,1.0
0.073504,0.116281,0.031543,0.039263,0.115465,0.193298,0.094892,0.930000,0.000000,0.070000,0.000000,Fair,0.25,0.43,1.0
0.072926,0.117896,0.031419,0.039509,0.114434,0.196283,0.095411,0.950000,0.000000,0.050000,0.000000,Fair,0.25,0.45,1.0
0.072082,0.120393,0.031238,0.039884,0.112927,0.200902,0.096238,0.980000,0.000000,0.020000,0.000000,Fair,0.25,0.48,1.0
0.071534,0.122107,0.031119,0.040138,0.111950,0.204077,0.096821,1.000000,0.000000,0.000000,0.000000,Fair,0.25,0.5,1.0
0.084108,0.086129,0.033707,0.034098,0.134510,0.138161,0.085119,0.624000,0.000000,0.576000,0.000000,Fair,0.3,0.02,1.0
0.082664,0.087721,0.033423,0.034402,0.131905,0.141041,0.085193,0.660000,0.000000,0.540000,0.000000,Fair,0.3,0.05,1.0
0.081278,0.089382,0.033148,0.034714,0.129408,0.144050,0.085330,0.696000,0.000000,0.504000,0.000000,Fair,0.3,0.08,1.0
0.080385,0.090529,0.032969,0.034928,0.127801,0.146131,0.085457,0.720000,0.000000,0.480000,0.000000,Fair,0.3,0.1,1.0
0.079516,0.091710,0.032794,0.035146,0.126238,0.148274,0.085613,0.744000,0.000000,0.456000,0.000000,Fair,0.3,0.12,1.0
0.078255,0.093545,0.032537,0.035480,0.123973,0.151610,0.085900,0.780000,0.000000,0.420000,0.000000,Fair,0.3,0.15,1.0
0.077043,0.095462,0.032287,0.035824,0.121799,0.155100,0.086253,0.816000,0.000000,0.384000,0.000000,Fair,0.3,0.18,1.0
0.076262,0.096787,0.032125,0.036059,0.120398,0.157515,0.086524,0.840000,0.000000,0.360000,0.000000,Fair,0.3,0.2,1.0
0.075500,0.098151,0.031965,0.036299,0.119035,0.160003,0.086826,0.863995,0.000000,0.336000,0.000000,Fair,0.3,0.22,1.0
0.074394,0.100274,0.031732,0.036667,0.117056,0.163881,0.087334,0.900000,0.000000,0.300000,0.000000,Fair,0.3,0.25,1.0
0.073330,0.102492,0.031506,0.037045,0.115153,0.167939,0.087911,0.936000,0.000000,0.264000,0.000000,Fair,0.3,0.28,1.0
0.072642,0.104025,0.031358,0.037303,0.113926,0.170748,0.088334,0.960000,0.000000,0.240000,0.000000,Fair,0.3,0.3,1.0
0.071972,0.105605,0.031214,0.037565,0.112730,0.173645,0.088788,0.984000,0.000000,0.216000,0.000000,Fair,0.3,0.32,1.0
0.069999,0.108063,0.030234,0.037968,0.109765,0.178159,0.089031,1.000000,0.020000,0.180000,0.000000,Fair,0.3,0.35,1.0
0.067318,0.110632,0.028705,0.038381,0.105932,0.182884,0.088975,1.000000,0.056000,0.144000,0.000000,Fair,0.3,0.38,1.0
0.065593,0.112409,0.027732,0.038662,0.103454,0.186156,0.089001,1.000000,0.080000,0.120000,0.000000,Fair,0.3,0.4,1.0
0.063102,0.115173,0.026343,0.039093,0.099861,0.191253,0.089137,1.000000,0.116000,0.084000,0.000000,Fair,0.3,0.43,1.0
0.061507,0.117083,0.025463,0.039386,0.097552,0.194781,0.089295,1.000000,0.140000,0.060000,0.000000,Fair,0.3,0.45,1.0
0.059217,0.120055,0.024212,0.039833,0.094223,0.200276,0.089636,1.000000,0.176000,0.024000,0.000000,Fair,0.3,0.48,1.0
0.057759,0.122107,0.023423,0.040138,0.092096,0.204077,0.089933,1.000000,0.200000,0.000000,0.000000,Fair,0.3,0.5,1.0
0.080093,0.082196,0.032910,0.033331,0.127275,0.131061,0.081144,0.728000,0.000000,0.672000,0.000000,Fair,0.35,0.02,1.0
0.078600,0.083863,0.032607,0.033659,0.124593,0.134068,0.081232,0.770000,0.000000,0.630000,0.000000,Fair,0.35,0.05,1.0
0.077175,0.085614,0.032314,0.033999,0.122037,0.137228,0.081395,0.812000,0.000000,0.588000,0.000000,Fair,0.35,0.08,1.0
0.076262,0.086829,0.032125,0.034232,0.120398,0.139425,0.081545,0.840000,0.000000,0.560000,0.000000,Fair,0.35,0.1,1.0
0.075375,0.088084,0.031939,0.034470,0.118811,0.141698,0.081730,0.868000,0.000000,0.532000,0.000000,Fair,0.35,0.12,1.0
0.074094,0.090047,0.031669,0.034838,0.116520,0.145256,0.082071,0.910000,0.000000,0.490000,0.000000,Fair,0.35,0.15,1.0
0.072869,0.092111,0.031407,0.035219,0.114332,0.149003,0.082490,0.952000,0.000000,0.448000,0.000000,Fair,0.35,0.18,1.0
0.072082,0.093545,0.031238,0.035480,0.112927,0.151610,0.082814,0.980000,0.000000,0.420000,0.000000,Fair,0.35,0.2,1.0
0.070917,0.095029,0.030762,0.035747,0.111072,0.154311,0.082973,1.000000,0.007995,0.392000,0.000000,Fair,0.35,0.22,1.0
0.067758,0.097351,0.028954,0.036159,0.106561,0.158543,0.082554,1.000000,0.050000,0.350000,0.000000,Fair,0.35,0.25,1.0
0.064749,0.099794,0.027260,0.036584,0.102239,0.163004,0.082272,1.000000,0.092000,0.308000,0.000000,Fair,0.35,0.28,1.0
0.062832,0.101494,0.026194,0.036875,0.099471,0.166112,0.082163,1.000000,0.120000,0.280000,0.000000,Fair,0.35,0.3,1.0
0.060988,0.103253,0.025178,0.037173,0.096798,0.169333,0.082120,1.000000,0.148000,0.252000,0.000000,Fair,0.35,0.32,1.0
0.058360,0.106007,0.023747,0.037631,0.092973,0.174383,0.082184,1.000000,0.190000,0.210000,0.000000,Fair,0.35,0.35,1.0
0.055900,0.108907,0.022425,0.038104,0.089375,0.179710,0.082404,1.000000,0.232000,0.168000,0.000000,Fair,0.35,0.38,1.0
0.054353,0.110925,0.021602,0.038427,0.087104,0.183422,0.082639,1.000000,0.260000,0.140000,0.000000,Fair,0.35,0.4,1.0
0.052168,0.114084,0.020451,0.038924,0.083885,0.189243,0.083126,1.000000,0.302000,0.098000,0.000000,Fair,0.35,0.43,1.0
0.050800,0.116281,0.019737,0.039263,0.081863,0.193298,0.083540,1.000000,0.330000,0.070000,0.000000,Fair,0.35,0.45,1.0
0.048875,0.119718,0.018741,0.039783,0.079009,0.199653,0.084297,1.000000,0.372000,0.028000,0.000000,Fair,0.35,0.48,1.0
0.047673,0.122107,0.018123,0.040138,0.077223,0.204077,0.084890,1.000000,0.400000,0.000000,0.000000,Fair,0.35,0.5,1.0
0.076520,0.078670,0.032178,0.032621,0.120861,0.124718,0.077595,0.832000,0.000000,0.768000,0.000000,Fair,0.4,0.02,1.0
0.075003,0.080385,0.031861,0.032969,0.118145,0.127801,0.077694,0.880000,0.000000,0.720000,0.000000,Fair,0.4,0.05,1.0
0.073563,0.082196,0.031556,0.033331,0.115570,0.131061,0.077879,0.928000,0.000000,0.672000,0.000000,Fair,0.4,0.08,1.0
0.072642,0.083459,0.031358,0.033580,0.113926,0.133338,0.078051,0.960000,0.000000,0.640000,0.000000,Fair,0.4,0.1,1.0
0.071752,0.084770,0.031166,0.033836,0.112338,0.135703,0.078261,0.992000,0.000000,0.608000,0.000000,Fair,0.4,0.12,1.0
0.068496,0.086829,0.029374,0.034232,0.107619,0.139425,0.077663,1.000000,0.040000,0.560000,0.000000,Fair,0.4,0.15,1.0
0.065029,0.089007,0.027416,0.034644,0.102642,0.143370,0.077018,1.000000,0.088000,0.512000,0.000000,Fair,0.4,0.18,1.0
0.062832,0.090529,0.026194,0.034928,0.099471,0.146131,0.076681,1.000000,0.120000,0.480000,0.000000,Fair,0.4,0.2,1.0
0.060730,0.092111,0.025037,0.035219,0.096424,0.149003,0.076421,1.000000,0.152000,0.448000,0.000000,Fair,0.4,0.22,1.0
0.057759,0.094600,0.023423,0.035670,0.092096,0.153529,0.076180,1.000000,0.200000,0.400000,0.000000,Fair,0.4,0.25,1.0
0.055007,0.097237,0.021950,0.036139,0.088065,0.158336,0.076122,1.000000,0.248000,0.352000,0.000000,Fair,0.4,0.28,1.0
0.053293,0.099083,0.021042,0.036461,0.085543,0.161705,0.076188,1.000000,0.280000,0.320000,0.000000,Fair,0.4,0.3,1.0
0.051672,0.101002,0.020192,0.036792,0.083152,0.165213,0.076337,1.000000,0.312000,0.288000,0.000000,Fair,0.4,0.32,1.0
0.049410,0.104025,0.019016,0.037303,0.079803,0.170748,0.076718,1.000000,0.360000,0.240000,0.000000,Fair,0.4,0.35,1.0
0.047341,0.107232,0.017954,0.037832,0.076728,0.176632,0.077287,1.000000,0.408000,0.192000,0.000000,Fair,0.4,0.38,1.0
0.046063,0.109477,0.017303,0.038196,0.074823,0.180757,0.077770,1.000000,0.440000,0.160000,0.000000,Fair,0.4,0.4,1.0
